"","program","status","sex"
"1","A","admitted","male"
"2","A","admitted","male"
"3","A","admitted","male"
"4","A","admitted","male"
"5","A","admitted","male"
"6","A","admitted","male"
"7","A","admitted","male"
"8","A","admitted","male"
"9","A","admitted","male"
"10","A","admitted","male"
"11","A","admitted","male"
"12","A","admitted","male"
"13","A","admitted","male"
"14","A","admitted","male"
"15","A","admitted","male"
"16","A","admitted","male"
"17","A","admitted","male"
"18","A","admitted","male"
"19","A","admitted","male"
"20","A","admitted","male"
"21","A","admitted","male"
"22","A","admitted","male"
"23","A","admitted","male"
"24","A","admitted","male"
"25","A","admitted","male"
"26","A","admitted","male"
"27","A","admitted","male"
"28","A","admitted","male"
"29","A","admitted","male"
"30","A","admitted","male"
"31","A","admitted","male"
"32","A","admitted","male"
"33","A","admitted","male"
"34","A","admitted","male"
"35","A","admitted","male"
"36","A","admitted","male"
"37","A","admitted","male"
"38","A","admitted","male"
"39","A","admitted","male"
"40","A","admitted","male"
"41","A","admitted","male"
"42","A","admitted","male"
"43","A","admitted","male"
"44","A","admitted","male"
"45","A","admitted","male"
"46","A","admitted","male"
"47","A","admitted","male"
"48","A","admitted","male"
"49","A","admitted","male"
"50","A","admitted","male"
"51","A","admitted","male"
"52","A","admitted","male"
"53","A","admitted","male"
"54","A","admitted","male"
"55","A","admitted","male"
"56","A","admitted","male"
"57","A","admitted","male"
"58","A","admitted","male"
"59","A","admitted","male"
"60","A","admitted","male"
"61","A","admitted","male"
"62","A","admitted","male"
"63","A","admitted","male"
"64","A","admitted","male"
"65","A","admitted","male"
"66","A","admitted","male"
"67","A","admitted","male"
"68","A","admitted","male"
"69","A","admitted","male"
"70","A","admitted","male"
"71","A","admitted","male"
"72","A","admitted","male"
"73","A","admitted","male"
"74","A","admitted","male"
"75","A","admitted","male"
"76","A","admitted","male"
"77","A","admitted","male"
"78","A","admitted","male"
"79","A","admitted","male"
"80","A","admitted","male"
"81","A","admitted","male"
"82","A","admitted","male"
"83","A","admitted","male"
"84","A","admitted","male"
"85","A","admitted","male"
"86","A","admitted","male"
"87","A","admitted","male"
"88","A","admitted","male"
"89","A","admitted","male"
"90","A","admitted","male"
"91","A","admitted","male"
"92","A","admitted","male"
"93","A","admitted","male"
"94","A","admitted","male"
"95","A","admitted","male"
"96","A","admitted","male"
"97","A","admitted","male"
"98","A","admitted","male"
"99","A","admitted","male"
"100","A","admitted","male"
"101","A","admitted","male"
"102","A","admitted","male"
"103","A","admitted","male"
"104","A","admitted","male"
"105","A","admitted","male"
"106","A","admitted","male"
"107","A","admitted","male"
"108","A","admitted","male"
"109","A","admitted","male"
"110","A","admitted","male"
"111","A","admitted","male"
"112","A","admitted","male"
"113","A","admitted","male"
"114","A","admitted","male"
"115","A","admitted","male"
"116","A","admitted","male"
"117","A","admitted","male"
"118","A","admitted","male"
"119","A","admitted","male"
"120","A","admitted","male"
"121","A","admitted","male"
"122","A","admitted","male"
"123","A","admitted","male"
"124","A","admitted","male"
"125","A","admitted","male"
"126","A","admitted","male"
"127","A","admitted","male"
"128","A","admitted","male"
"129","A","admitted","male"
"130","A","admitted","male"
"131","A","admitted","male"
"132","A","admitted","male"
"133","A","admitted","male"
"134","A","admitted","male"
"135","A","admitted","male"
"136","A","admitted","male"
"137","A","admitted","male"
"138","A","admitted","male"
"139","A","admitted","male"
"140","A","admitted","male"
"141","A","admitted","male"
"142","A","admitted","male"
"143","A","admitted","male"
"144","A","admitted","male"
"145","A","admitted","male"
"146","A","admitted","male"
"147","A","admitted","male"
"148","A","admitted","male"
"149","A","admitted","male"
"150","A","admitted","male"
"151","A","admitted","male"
"152","A","admitted","male"
"153","A","admitted","male"
"154","A","admitted","male"
"155","A","admitted","male"
"156","A","admitted","male"
"157","A","admitted","male"
"158","A","admitted","male"
"159","A","admitted","male"
"160","A","admitted","male"
"161","A","admitted","male"
"162","A","admitted","male"
"163","A","admitted","male"
"164","A","admitted","male"
"165","A","admitted","male"
"166","A","admitted","male"
"167","A","admitted","male"
"168","A","admitted","male"
"169","A","admitted","male"
"170","A","admitted","male"
"171","A","admitted","male"
"172","A","admitted","male"
"173","A","admitted","male"
"174","A","admitted","male"
"175","A","admitted","male"
"176","A","admitted","male"
"177","A","admitted","male"
"178","A","admitted","male"
"179","A","admitted","male"
"180","A","admitted","male"
"181","A","admitted","male"
"182","A","admitted","male"
"183","A","admitted","male"
"184","A","admitted","male"
"185","A","admitted","male"
"186","A","admitted","male"
"187","A","admitted","male"
"188","A","admitted","male"
"189","A","admitted","male"
"190","A","admitted","male"
"191","A","admitted","male"
"192","A","admitted","male"
"193","A","admitted","male"
"194","A","admitted","male"
"195","A","admitted","male"
"196","A","admitted","male"
"197","A","admitted","male"
"198","A","admitted","male"
"199","A","admitted","male"
"200","A","admitted","male"
"201","A","admitted","male"
"202","A","admitted","male"
"203","A","admitted","male"
"204","A","admitted","male"
"205","A","admitted","male"
"206","A","admitted","male"
"207","A","admitted","male"
"208","A","admitted","male"
"209","A","admitted","male"
"210","A","admitted","male"
"211","A","admitted","male"
"212","A","admitted","male"
"213","A","admitted","male"
"214","A","admitted","male"
"215","A","admitted","male"
"216","A","admitted","male"
"217","A","admitted","male"
"218","A","admitted","male"
"219","A","admitted","male"
"220","A","admitted","male"
"221","A","admitted","male"
"222","A","admitted","male"
"223","A","admitted","male"
"224","A","admitted","male"
"225","A","admitted","male"
"226","A","admitted","male"
"227","A","admitted","male"
"228","A","admitted","male"
"229","A","admitted","male"
"230","A","admitted","male"
"231","A","admitted","male"
"232","A","admitted","male"
"233","A","admitted","male"
"234","A","admitted","male"
"235","A","admitted","male"
"236","A","admitted","male"
"237","A","admitted","male"
"238","A","admitted","male"
"239","A","admitted","male"
"240","A","admitted","male"
"241","A","admitted","male"
"242","A","admitted","male"
"243","A","admitted","male"
"244","A","admitted","male"
"245","A","admitted","male"
"246","A","admitted","male"
"247","A","admitted","male"
"248","A","admitted","male"
"249","A","admitted","male"
"250","A","admitted","male"
"251","A","admitted","male"
"252","A","admitted","male"
"253","A","admitted","male"
"254","A","admitted","male"
"255","A","admitted","male"
"256","A","admitted","male"
"257","A","admitted","male"
"258","A","admitted","male"
"259","A","admitted","male"
"260","A","admitted","male"
"261","A","admitted","male"
"262","A","admitted","male"
"263","A","admitted","male"
"264","A","admitted","male"
"265","A","admitted","male"
"266","A","admitted","male"
"267","A","admitted","male"
"268","A","admitted","male"
"269","A","admitted","male"
