section,method 1,method 2,method 3
F21-01,46,10.2,12.8
F21-01,9,11.6,6.8
F21-01,8,13,7.5
F21-01,7,10.8,5.4
F21-01,10,9.4,4.2
F21-01,16,9.8,8
F21-01,12,11.4,8.2
F21-01,14,11.2,10.4
F21-01,8,11.2,12.6
F21-01,16,12.6,7
F21-01,10,9,3
F21-01,8,6.8,7.4
F21-01,21,8,4.6
F21-01,6,12,8.6
F21-01,8,11.2,9
F21-01,5.8,7.8,2.4
F21-01,5,7.2,8
F21-01,18,13.2,6.6
F21-01,15,7.4,4
F21-01,192,11.8,8.2
F21-02,7.5,10,4
F21-02,9,9.2,8.8
F21-02,6,13,7
F21-02,10,9,9.3
F21-02,9,6.8,6.4
F21-02,8,9.4,5.4
F21-02,8,13.8,5.2
F21-02,10,14.2,10.4
F21-02,9,13.8,10.4
F21-02,8,10.6,4.2
F21-02,10,7.8,6.8
F21-02,10,16.6,10.2
F21-02,15,10.2,6.8
F21-02,20,9.2,6.4
F21-02,6,7,6.4
F21-02,9,9,5.8
F21-02,9,9.8,5.8
F21-02,8,8,3.6
F21-02,14,10.2,7
F21-02,8,8.6,5.6
F21-02,7,13.2,6.6
F21-02,10,12,6.8
F21-02,16,16.6,3.2
F21-02,8,10.4,9.4
F21-02,15,12,7.8
F21-02,8,10.6,5.4
F21-02,10,11,8.2
F21-02,8,15.2,4.2
