state,governor,age.at.inaug,miss_riv,region,sex,party
Alabama,Kay Ivey,72,E,SE,F,Republican
Alaska,Mike Dunleavy,57,W,Pac,M,Republican
Arizona,Katie Hobbs,53,W,SW,F,Democratic
Arkansas,Sarah Huckabee Sanders,40,W,SE,F,Republican
California,Gavin Newsom,51,W,Pac,M,Democratic
Colorado,Jared Polis,43,W,west,M,Democratic
Connecticut,Ned Lamont,65,E,NE,M,Democratic
Delaware,John Carney,60,E,MAtl,M,Democratic
Florida,Ron DeSantis,40,E,SE,M,Republican
Georgia,Brian Kemp,55,E,SE,M,Republican
Hawaii,Josh Green,52,W,Pac,M,Democratic
Idaho,Brad Little,64,W,west,M,Republican
Illinois,J. B. Pritzker,53,E,MW,M,Democratic
Indiana,Eric Holcomb,48,E,MW,M,Republican
Iowa,Kim Reynolds,57,W,MW,F,Republican
Kansas,Laura Kelly,68,W,MW,F,Democratic
Kentucky,Andy Beshear,42,E,SE,M,Democratic
Louisiana,Jeff Landry,53,W,SE,M,Republican
Maine,Janet Mills,71,E,NE,F,Democratic
Maryland,Wes Moore,44,E,MAtl,M,Democratic
Massachusetts,Maura Healey,51,E,NE,M,Democratic
Michigan,Gretchen Whitmer,47,E,MW,F,Democratic
Minnesota,Tim Walz,54,W,MW,M,Democratic
Mississippi,Tate Reeves,45,E,SE,M,Republican
Missouri,Mike Parson,62,W,MW,M,Republican
Montana,Greg Gianforte,59,W,west,M,Republican
Nebraska,Jim Pillen,67,W,MW,M,Republican
Nevada,Joe Lombardo,60,W,west,M,Republican
New Hampshire,Chris Sununu,42,E,NE,M,Republican
New Jersey,Phil Murphy,60,E,MAtl,M,Democratic
New Mexico,Michelle Lujan Grisham,59,W,SW,F,Democratic
New York,Kathy Hochul,62,E,MAtl,F,Democratic
North Carolina,Roy Cooper,59,E,SE,M,Democratic
North Dakota,Doug Burgum,60,W,MW,M,Republican
Ohio,Mike DeWine,72,E,MW,M,Republican
Oklahoma,Kevin Stitt,46,W,SW,M,Republican
Oregon,Tina Kotek,56,W,Pac,F,Democratic
Pennsylvania,Josh Shapiro,49,E,MAtl,M,Democratic
Rhode Island,Dan McKee,69,E,NE,M,Democratic
South Carolina,Henry McMaster,69,E,SE,M,Republican
South Dakota,Kristi Noem,47,W,MW,F,Republican
Tennessee,Bill Lee,59,E,SE,M,Republican
Texas,Greg Abbott,57,W,SW,M,Republican
Utah,Spencer Cox,45,W,west,M,Republican
Vermont,Phil Scott,58,E,NE,M,Republican
Virginia,Glenn Youngkin,56,E,SE,M,Republican
Washington,Jay Inslee,61,W,Pac,M,Democratic
West Virginia,Jim Justice,65,E,SE,M,Republican
Wisconsin,Tony Evers,67,E,MW,M,Democratic
Wyoming,Mark Gordon,61,W,west,M,Republican
