Year,Tropical storms,Hurricanes,Major Hurricanes,Decade,Recent
1851,6,3,1,1,0
1852,5,5,1,1,0
1853,8,4,2,1,0
1854,5,3,1,1,0
1855,5,4,1,1,0
1856,6,4,2,1,0
1857,4,3,0,1,0
1858,6,6,0,1,0
1859,8,7,1,1,0
1860,7,6,1,1,0
1861,2,6,0,2,0
1862,3,3,0,2,0
1863,4,5,0,2,0
1864,2,3,0,2,0
1865,4,3,0,2,0
1866,7,6,1,2,0
1867,2,6,0,2,0
1868,1,3,0,2,0
1869,3,6,1,2,0
1870,11,10,2,2,0
1871,8,6,2,3,0
1872,5,4,0,3,0
1873,5,3,2,3,0
1874,7,4,0,3,0
1875,6,5,1,3,0
1876,5,4,2,3,0
1877,8,3,1,3,0
1878,12,10,1,3,0
1879,8,6,2,3,0
1880,11,9,2,3,0
1881,7,4,0,4,0
1882,6,5,2,4,0
1883,4,3,2,4,0
1884,4,4,1,4,0
1885,8,6,1,4,0
1886,12,10,4,4,0
1887,19,11,2,4,0
1888,9,6,2,4,0
1889,9,6,0,4,0
1890,4,2,1,4,0
1891,10,7,1,5,0
1892,9,5,0,5,0
1893,12,10,5,5,0
1894,7,5,4,5,0
1895,6,2,0,5,0
1896,7,6,2,5,0
1897,6,3,0,5,0
1898,11,5,1,5,0
1899,9,5,2,5,0
1900,7,3,2,5,0
1901,12,5,1,6,0
1902,5,3,0,6,0
1903,10,7,1,6,0
1904,5,3,0,6,0
1905,5,1,1,6,0
1906,11,6,3,6,0
1907,5,0,0,6,0
1908,10,6,1,6,0
1909,11,6,4,6,0
1910,5,3,1,6,0
1911,6,3,0,7,0
1912,7,4,1,7,0
1913,6,4,0,7,0
1914,1,0,0,7,0
1915,6,5,4,7,0
1916,15,10,5,7,0
1917,4,2,2,7,0
1918,6,4,1,7,0
1919,5,2,1,7,0
1920,5,4,0,7,0
1921,7,5,2,8,0
1922,5,3,1,8,0
1923,9,4,1,8,0
1924,11,5,2,8,0
1925,4,2,0,8,0
1926,11,8,6,8,0
1927,8,4,1,8,0
1928,6,4,1,8,0
1929,5,3,1,8,0
1930,3,2,2,8,0
1931,13,3,1,9,0
1932,15,6,4,9,0
1933,20,11,6,9,0
1934,13,7,1,9,0
1935,8,5,3,9,0
1936,17,7,1,9,0
1937,11,4,1,9,0
1938,9,4,2,9,0
1939,6,3,1,9,0
1940,9,6,0,9,0
1941,6,4,3,10,0
1942,11,4,1,10,0
1943,10,5,2,10,0
1944,14,8,3,10,0
1945,11,5,2,10,0
1946,7,3,0,10,0
1947,10,5,2,10,0
1948,10,6,4,10,0
1949,16,7,3,10,0
1950,16,11,6,10,0
1951,12,8,3,11,0
1952,11,5,2,11,0
1953,14,7,3,11,0
1954,16,7,3,11,0
1955,13,9,4,11,0
1956,12,4,1,11,0
1957,8,3,2,11,0
1958,12,7,3,11,0
1959,14,7,2,11,0
1960,8,4,2,11,0
1961,11,8,7,12,0
1962,5,3,1,12,0
1963,9,7,2,12,0
1964,12,6,6,12,0
1965,6,4,1,12,0
1966,11,7,3,12,0
1967,8,6,1,12,0
1968,8,4,0,12,0
1969,18,12,5,12,0
1970,11,5,2,12,0
1971,13,6,1,13,0
1972,7,3,0,13,0
1973,8,4,1,13,0
1974,11,4,2,13,0
1975,9,6,3,13,0
1976,10,6,2,13,0
1977,6,5,1,13,0
1978,12,5,2,13,0
1979,9,5,2,13,0
1980,11,9,2,13,0
1981,12,7,3,14,0
1982,6,2,1,14,0
1983,4,3,1,14,0
1984,13,5,1,14,0
1985,11,7,3,14,0
1986,6,4,0,14,0
1987,7,3,1,14,0
1988,12,5,3,14,0
1989,11,7,2,14,0
1990,14,8,1,14,0
1991,8,4,2,15,0
1992,7,4,1,15,0
1993,8,4,1,15,0
1994,7,3,0,15,0
1995,19,11,5,15,0
1996,13,9,6,15,0
1997,8,3,1,15,0
1998,14,10,3,15,0
1999,12,8,5,15,0
2000,15,8,3,15,0
2001,15,9,4,16,1
2002,12,4,2,16,1
2003,16,7,3,16,1
2004,15,9,6,16,1
2005,28,15,7,16,1
2006,10,5,2,16,1
2007,15,6,2,16,1
2008,16,8,5,16,1
2009,9,3,2,16,1
2010,19,12,5,16,1
2011,19,7,4,17,1
2012,19,10,2,17,1
2013,14,2,0,17,1
2014,8,6,2,17,1
2015,11,4,2,17,1
2016,15,7,4,17,1
2017,17,10,6,17,1
2018,15,8,2,17,1
2019,18,6,3,17,1
2020,30,14,7,17,1
