city,pop_year,population,lead_digit
Portland,2023,630498,6
Eugene,2023,177899,1
Salem,2023,177432,1
Gresham,2023,110685,1
Hillsboro,2023,107730,1
Bend,2023,104557,1
Beaverton,2023,96945,9
Medford,2023,85098,8
Corvallis,2023,61087,6
Springfield,2023,61085,6
Albany,2023,57053,5
Tigard,2023,55590,5
Aloha,2022,53532,5
Lake Oswego,2023,39924,3
Grants Pass,2023,39149,3
Keizer,2023,38564,3
Oregon,2023,37351,3
Redmond,2023,37009,3
McMinnville,2023,34450,3
Bethany,2022,30983,3
Woodburn,2023,29033,2
Happy Valley,2023,28409,2
Tualatin,2023,27383,2
Forest Grove,2023,26799,2
West Linn,2023,26629,2
Wilsonville,2023,26345,2
Newberg,2023,26095,2
Roseburg,2023,23861,2
Klamath Falls,2023,21888,2
Hayesville,2022,21822,2
Milwaukie,2023,21594,2
Ashland,2023,21061,2
Altamont,2022,20345,2
Sherwood,2023,19957,1
Lebanon,2023,19726,1
Hermiston,2023,19489,1
Central Point,2023,19171,1
Cedar Mill,2022,19151,1
Canby,2023,17944,1
Dallas,2023,17644,1
Oak Grove,2022,17535,1
Pendleton,2023,17289,1
Four Corners,2022,16163,1
The Dalles,2023,15786,1
Troutdale,2023,15717,1
Coos Bay,2023,15595,1
Cornelius,2023,14981,1
St. Helens,2023,14437,1
Oatfield,2022,13073,1
La Grande,2023,12973,1
Sandy,2023,12946,1
Ontario,2023,11866,1
Gladstone,2023,11865,1
Oak Hills,2022,11780,1
Prineville,2023,11745,1
Santa Clara,2022,11377,1
Monmouth,2023,11270,1
White,2022,11123,1
Fairview,2023,10782,1
Cottage Grove,2023,10623,1
Damascus,2022,10555,1
Newport,2023,10489,1
Silverton,2023,10341,1
Independence,2023,10247,1
Baker,2023,10225,1
Sweet Home,2023,10206,1
Molalla,2023,10103,1
North Bend,2023,10054,1
Lincoln,2023,10007,1
Astoria,2023,9986,9
Rockcreek,2022,9923,9
Eagle Point,2023,9829,9
Florence,2023,9470,9
Bull Mountain,2022,9319,9
Cedar Hills,2022,9076,9
River Road,2022,8675,8
Sutherlin,2023,8652,8
West Haven-Sylvan,2022,8376,8
Hood River,2023,8346,8
Scappoose,2023,8259,8
Stayton,2023,8225,8
Green,2022,8151,8
Umatilla,2023,7755,7
Madras,2023,7744,7
Jennings Lodge,2022,7662,7
Seaside,2023,7164,7
Garden Home-Whitford,2022,7086,7
Junction,2023,7072,7
Milton-Freewater,2023,6977,6
Raleigh Hills,2022,6737,6
Brookings,2023,6672,6
West Slope,2022,6663,6
Sheridan,2023,6483,6
Talent,2023,6332,6
Warrenton,2023,6255,6
Philomath,2023,5714,5
Winston,2023,5678,5
Creswell,2023,5597,5
Deschutes River Woods,2022,5595,5
Estacada,2023,5421,5
Marlene Village,2022,5286,5
Tillamook,2023,5196,5
Veneta,2023,5183,5
King,2023,4968,4
Wood Village,2023,4717,4
Mount Hood Villages,2022,4663,4
Beavercreek,2022,4532,4
Lafayette,2023,4530,4
Roseburg North,2022,4478,4
Crooked River Ranch,2022,4464,4
Phoenix,2023,4422,4
Reedsport,2023,4321,4
Boardman,2023,4268,4
Aumsville,2023,4164,4
Coquille,2023,3991,3
Metzger,2022,3932,3
Tri-City,2022,3810,3
Three Rivers,2022,3762,3
Harrisburg,2023,3701,3
Toledo,2023,3514,3
Myrtle Creek,2023,3501,3
Mount Angel,2023,3429,3
North Plains,2023,3378,3
Hubbard,2023,3372,3
Millersburg,2023,3311,3
Bandon,2023,3304,3
Redwood,2022,3275,3
Jefferson,2023,3267,3
Nyssa,2023,3253,3
Dundee,2023,3179,3
Oakridge,2023,3147,3
Eagle Crest,2022,3074,3
Shady Cove,2023,3064,3
Odell,2022,3003,3
Sisters,2023,2979,2
