date_of_award,name.best actor,age_at_award.best actor,name.best actress,age_at_award.best actress,diff
16-May-29,Emil Jannings,44.8,Janet Gaynor,22.61,22.19
3-Apr-30,Warner Baxter,41,Mary Pickford,37.98,3.02
5-Nov-30,George Arliss,62.6,Norma Shearer,28.24,34.36
10-Nov-31,Lionel Barrymore,53.5,Marie Dressler,63,-9.5
18-Nov-32,Wallace Beery,47.6,Helen Hayes,32.11,15.49
16-Mar-34,Charles Laughton,34.7,Katharine Hepburn,26.84,7.86
27-Feb-35,Clark Gable,34.1,Claudette Colbert,31.46,2.64
5-Mar-36,Victor McLaglen,49.2,Bette Davis,27.92,21.28
4-Mar-37,Paul Muni,41.4,Luise Rainer,27.14,14.26
10-Mar-38,Spencer Tracy,37.9,Luise Rainer,28.16,9.74
23-Feb-39,Spencer Tracy,38.9,Bette Davis,30.89,8.01
29-Feb-40,Robert Donat,35,Vivien Leigh,26.32,8.68
27-Feb-41,James Stewart,32.8,Ginger Rogers,29.62,3.18
26-Feb-42,Gary Cooper,40.8,Joan Fontaine,24.35,16.45
4-Mar-43,James Cagney,43.6,Greer Garson,38.43,5.17
2-Mar-44,Paul Lukas,48.8,Jennifer Jones,25,23.8
15-Mar-45,Bing Crosby,41.9,Ingrid Bergman,29.54,12.36
7-Mar-46,Ray Milland,39.2,Joan Crawford,40.95,-1.75
13-Mar-47,Fredric March,49.5,Olivia de Havilland,30.7,18.8
20-Mar-48,Ronald Colman,57.1,Loretta Young,35.2,21.9
24-Mar-49,Laurence Olivier,41.8,Jane Wyman,32.21,9.59
23-Mar-50,Broderick Crawford,38.3,Olivia de Havilland,33.72,4.58
29-Mar-51,José Ferrer,39.2,Judy Holliday,29.77,9.43
20-Mar-52,NA,NA,Vivien Leigh,38.37,NA
30-Mar-52,Humphrey Bogart,52.3,NA,NA,NA
19-Mar-53,Gary Cooper,51.9,Shirley Booth,54.55,-2.65
25-Mar-54,William Holden,35.9,Audrey Hepburn,24.89,11.01
30-Mar-55,Marlon Brando,31,Grace Kelly,25.38,5.62
