Timestamp,Term,achieve,degree,eyecolor,year,int.ext,height,phone.usage,haircut,random,study,run,shoes,abolish.penny,sleep,bedtime,countries,states,class.dread
2/7/23 10:13,Spring23,president,nursing,Brown,1st year,5,67,7,20,4,10,4,14,No,11,11:00 PM,1,7,4
2/7/23 10:13,Spring23,gold,CAS,Hazel,1st year,4,61,7,90,7,15,0,12,No,6,10:00 PM,3,10,4
2/7/23 10:14,Spring23,oscar,CAS,Green,3rd year,2,68,4,0,4,3,5,5,Yes,8,10:00 PM,1,3,3
2/7/23 10:14,Spring23,Nobel,nursing,Brown,1st year,2,64,6,20,7,4,1,10,Yes,7,1:00 AM,3,3,3
2/7/23 10:14,Spring23,president,CAS,Blue,1st year,2,67,5,120,6,15,10,8,Yes,8,11:00 PM,2,6,4
2/7/23 10:14,Spring23,oscar,CAS,Brown,4th year,3,63,7,0,8,5,0,20,Yes,7,after 1 am,4,4,5
2/7/23 10:14,Spring23,gold,nursing,Green,1st year,4,62,4,50,5,15,0,,Yes,6.5,10:00 PM,1,4,2
2/7/23 10:14,Spring23,Nobel,CAS,Green,1st year,3,63,7,0,4,17,0,8,No,8,10:00 PM,2,12,4
2/7/23 10:14,Spring23,Nobel,CAS,Brown,1st year,1,62,5,35,1,15,0,5,No,7,11:00 PM,1,3,2
2/7/23 10:15,Spring23,gold,nursing,Brown,1st year,3,61,4,30,5,20,0,6,No,6,11:00 PM,1,8,3
2/7/23 10:15,Spring23,president,CAS,Hazel,2nd year,2,69,2,10,4,8,40,3,Yes,8,before 10 pm,0,6,2
2/7/23 10:15,Spring23,oscar,nursing,Brown,1st year,4,61,4,35,7,11,0,32,No,8,11:00 PM,2,5,1
2/7/23 10:15,Spring23,president,nursing,Brown,1st year,1,60,7,30,4,4,4,15,No,6,midnight,2,2,3
2/7/23 10:15,Spring23,Nobel,nursing,Brown,1st year,3,62,5,25,5,5,1,9,No,8,11:00 PM,1,4,2
2/7/23 10:15,Spring23,president,nursing,Brown,1st year,4,64,7,25,4,8,0,10,No,8,11:00 PM,2,8,5
2/7/23 10:15,Spring23,Nobel,nursing,Brown,1st year,4,64,4,65,7,18,1,11,No,7,11:00 PM,2,5,2
2/7/23 10:15,Spring23,oscar,nursing,Brown,1st year,4,64,4,0,4,7,0,5,Yes,8,11:00 PM,10,13,3
2/7/23 10:15,Spring23,gold,CAS,Brown,1st year,4,68,4,30,10,15,3,8,Yes,10,11:00 PM,2,5,2
2/7/23 10:15,Spring23,gold,business,Brown,1st year,3,62,6,60,3,12,15,12,No,7,midnight,2,8,1
2/7/23 10:15,Spring23,Nobel,business,Hazel,1st year,5,67,6,50,4,8,4,9,Yes,8,midnight,7,15,2
2/7/23 10:15,Spring23,gold,business,Blue,1st year,4,73,7,25,8,1.5,5,11,No,7.5,midnight,6,12,3
2/7/23 10:15,Spring23,Nobel,nursing,Hazel,1st year,3,60,5,5,9,8,4,12,No,8,midnight,3,10,3
2/7/23 10:16,Spring23,Nobel,CAS,Brown,2nd year,5,66,2,60,7,35,0,24,Yes,7.5,11:00 PM,1,10,1
2/7/23 10:16,Spring23,gold,CAS,Brown,1st year,5,70,6,300,8,10,5,12,No,7,midnight,2,21,3
2/7/23 11:48,Spring23,Nobel,nursing,Brown,1st year,2,62,4,62,2,15,3,7,No,7,midnight,3,12,2
2/7/23 12:04,Spring23,gold,business,Blue,2nd year,3,69,3,0,8,10,10,10,Yes,8,midnight,4,7,5
2/7/23 13:21,Spring23,gold,CAS,Blue,1st year,5,68,6,0,4,6,7,9,Yes,4,after 1 am,1,8,1
2/7/23 14:57,Spring23,Nobel,CAS,Brown,4th year,6,70,3,25,8,16.5,0.1,5,Yes,7.5833,after 1 am,2,15,5
2/7/23 18:04,Spring23,gold,nursing,Brown,1st year,3,62.5,4,45,6,5,0,3,Yes,6,1:00 AM,2,7,5
2/8/23 10:02,Spring23,oscar,business,Green,1st year,5,62,4,210,8,12,4,20,No,9,10:00 PM,2,4,2
2/8/23 10:02,Spring23,president,business,Brown,1st year,3,72,2,40,6,2,2.5,4,No,7,11:00 PM,0,5,1
2/8/23 10:02,Spring23,gold,CAS,Brown,1st year,3,63,3,40,7,6,5,10,Yes,7,11:00 PM,2,4,3
2/8/23 10:02,Spring23,president,CAS,Blue,1st year,2,71,6,0,7,2,0,10,No,10,10:00 PM,0,5,1
2/8/23 10:02,Spring23,oscar,business,Brown,1st year,2,71,3,15,7,2,2,6,No,9,10:00 PM,3,12,2
