Timestamp,achieve,degree,eyecolor,year,int.ext,height,phone.usage,haircut,random,study,run,shoes,abolish.penny,sleep,bedtime,countries,states,class.dread
2023/01/03 8:05:09 AM PST,To win an Olympic gold medal,School of Nursing,Brown,1st year,6,64,3,35,2,7,0,16,Yes,6,midnight,7,26,3
2023/01/03 8:05:17 AM PST,To win an Olympic gold medal,School of Nursing,Hazel,1st year,5,68,7 or more,45,8,10,10,8,No,7,midnight,5,12,2
2023/01/03 8:05:24 AM PST,To win a Nobel Prize,School of Business,Blue,1st year,2,65,4,NA,7,20,0,75,No,7.5,11:00 PM,9,20,2
2023/01/03 8:05:35 AM PST,To win a Nobel Prize,School of Nursing,Green,1st year,4,59,5,420,2,6,0,15,No,9,11:00 PM,2,6,2
2023/01/03 8:05:38 AM PST,To win a Nobel Prize,College of Arts and Sciences,Brown,2nd year,3,61,3,200,7,12,2,10,No,8,10:00 PM,2,7,4
2023/01/03 8:05:43 AM PST,To win an Olympic gold medal,School of Business,Brown,1st year,5,63,5,0,2,6,2,11,No,6,11:00 PM,2,9,1
2023/01/03 8:05:47 AM PST,To win a Nobel Prize,School of Business,Brown,2nd year,3,61,5,0,9,10,5,20,Yes,6,midnight,2,6,3
2023/01/03 8:05:55 AM PST,To win a Nobel Prize,School of Nursing,Blue,1st year,5,75,5,20,1,6,0,6,No,6,midnight,3,8,3
2023/01/03 8:05:56 AM PST,To become President of the United States,School of Nursing,Other,1st year,2,66,6,75,4,10,2,20,Yes,8,midnight,1,9,4
2023/01/03 8:05:56 AM PST,To win an Olympic gold medal,School of Nursing,Blue,1st year,2,68,6,25,3,5,0,12,No,7,11:00 PM,1,7,4
2023/01/03 8:06:10 AM PST,To win a Nobel Prize,College of Arts and Sciences,Hazel,1st year,2,62,3,90,5,5,1,18,Yes,10,10:00 PM,2,10,2
2023/01/03 8:06:10 AM PST,To win a Nobel Prize,College of Arts and Sciences,Brown,1st year,1,69,3,18,4,6,20,3,Yes,8,11:00 PM,1,8,2
2023/01/03 8:06:16 AM PST,To win an Olympic gold medal,School of Business,Hazel,1st year,2,70,5,30,7,7,3,7,No,7,11:00 PM,4,8,2
2023/01/03 8:06:23 AM PST,To win an Olympic gold medal,School of Nursing,Brown,1st year,2,61,3,50,4,15,5,13,No,9,10:00 PM,1,24,4
2023/01/03 8:06:24 AM PST,To win a Nobel Prize,School of Business,Blue,3rd year,3,68,3,,3,10,0,25,Yes,6,10:00 PM,17,23,2
2023/01/03 8:06:29 AM PST,To win a Nobel Prize,School of Nursing,Green,1st year,2,60,4,60,6,8,3,8,No,7,midnight,2,7,2
2023/01/03 8:06:32 AM PST,To win an Olympic gold medal,School of Business,Blue,1st year,4,69,3,0,9,3,2,10,No,7,midnight,3,8,3
2023/01/03 8:06:32 AM PST,To win an Olympic gold medal,,Hazel,1st year,4,69,5,225,7,3.5,1.5,8,No,7.5,midnight,4,9,4
2023/01/03 8:06:34 AM PST,To win an Olympic gold medal,School of Business,Green,1st year,3,66,7 or more,0,1,7,6,15,No,7,10:00 PM,2,15,3
2023/01/03 8:06:34 AM PST,To win an Olympic gold medal,School of Nursing,Brown,1st year,3,69,3,30,2,2,2,10,No,7,midnight,3,9,3
2023/01/03 8:06:51 AM PST,To win an Olympic gold medal,College of Arts and Sciences,Brown,1st year,3,60,4,40,8,5,5,10,No,8,10:00 PM,1,9,1
2023/01/03 8:07:02 AM PST,To win an Olympic gold medal,College of Arts and Sciences,Hazel,1st year,2,68,5,,6,6,2,9,No,7,midnight,4,8,3
