Timestamp,achieve,degree,eyecolor,year,int.ext,height,phone.usage,haircut,random,study,run,shoes,abolish.penny,sleep,bedtime,countries,states,class.dread
2022/08/30 11:42:33 AM MDT,To win an Olympic gold medal,School of Nursing,Brown,1st year,1,65,7 or more,150,3,4,6,10,No,7,11:00 PM,1,10,2
2022/08/30 11:43:05 AM MDT,To become President of the United States,School of Nursing,Blue,1st year,4,73,2,27,6,6,10,8,Yes,7,midnight,8,16,2
2022/08/30 11:43:09 AM MDT,To win an Olympic gold medal,School of Business,Brown,1st year,3,74,4,30,6,8,1,6,No,7,11:00 PM,1,15,2
2022/08/30 11:43:11 AM MDT,To win an Olympic gold medal,College of Arts and Sciences,Blue,1st year,4,61,2,25,7,10,6,11,No,7,11:00 PM,3,14,1
2022/08/30 11:43:13 AM MDT,To win an Olympic gold medal,College of Arts and Sciences,Blue,3rd year,2,74,2,0,3,3,5,4,No,8,1:00 AM,1,5,1
2022/08/30 11:43:16 AM MDT,To win a Nobel Prize,College of Arts and Sciences,Hazel,4th year,2,62,4,30,7,20,35,12,Yes,8,midnight,1,8,1
2022/08/30 11:43:19 AM MDT,To win a Nobel Prize,School of Nursing,Brown,1st year,3,62,6,45,6,12,4,9,No,8,10:00 PM,1,4,2
2022/08/30 11:43:21 AM MDT,To win an Olympic gold medal,College of Arts and Sciences,Green,3rd year,5,70,2,30,10,2,,12,Yes,8,11:00 PM,1,9,2
2022/08/30 11:43:21 AM MDT,To become President of the United States,School of Business,Brown,1st year,5,60,4,0,4,10,2,20,No,7,midnight,1,10,1
2022/08/30 11:43:25 AM MDT,To win an Olympic gold medal,School of Nursing,Brown,1st year,3,68,2,45,3,6,3,10,No,8,11:00 PM,3,7,1
2022/08/30 11:43:26 AM MDT,To win a Nobel Prize,School of Nursing,Blue,1st year,4,70,4,25,7,10,2,5,No,7.5,midnight,2,9,3
2022/08/30 11:43:43 AM MDT,To win an Olympic gold medal,College of Arts and Sciences,Blue,1st year,2,67,6,47,2,4,0,5,No,6,11:00 PM,1,12,2
2022/08/30 11:44:08 AM MDT,To win a Nobel Prize,School of Nursing,Blue,1st year,3,63,4,30,9,27.5,0,6,No,7,midnight,2,12,3
2022/08/30 11:44:11 AM MDT,To become President of the United States,School of Nursing,Brown,1st year,3,65,5,20,3,7,10,10,Yes,7,1:00 AM,1,4,3
2022/08/30 11:44:19 AM MDT,To win a Nobel Prize,School of Nursing,Brown,1st year,4,66,3,0,4,20,0,15,No,7,11:00 PM,2,3,1
2022/08/30 11:44:20 AM MDT,To win an Olympic gold medal,School of Nursing,Hazel,1st year,5,64,4,60,5,10,0,12,No,6.5,11:00 PM,2,10,2
2022/08/30 11:44:26 AM MDT,To win a Nobel Prize,College of Arts and Sciences,Blue,1st year,2,68,3,65,2,3,2,15,No,9,10:00 PM,1,8,3
2022/08/30 11:44:28 AM MDT,To win an Olympic gold medal,School of Business,Brown,1st year,3,72,3,20,7,4,,8,Yes,8.5,11:00 PM,2,8,3
2022/08/30 11:44:35 AM MDT,To win an Olympic gold medal,College of Arts and Sciences,Blue,1st year,4,71,5,35,10,2,2,6,No,8,11:00 PM,3,9,1
2022/08/30 11:44:54 AM MDT,To win a Nobel Prize,School of Nursing,Brown,2nd year,3,62,5,25,6,10,0,6,No,6,midnight,1,3,5
2022/08/30 11:45:00 AM MDT,To win a Nobel Prize,School of Nursing,Brown,1st year,2,65,7 or more,35,7,30,1,15,Yes,6,1:00 AM,1,3,2
2022/08/30 11:45:20 AM MDT,To win an Academy Award,School of Nursing,Blue,1st year,6,63,5,15,7,7,3,30,Yes,8,11:00 PM,1,5,2
2022/08/30 11:45:21 AM MDT,To win an Olympic gold medal,School of Nursing,Brown,1st year,4,61,7 or more,25,7,10,5,5,No,8,11:00 PM,2,1,2
2022/08/30 11:45:34 AM MDT,To win an Academy Award,College of Arts and Sciences,Brown,3rd year,6,66,5,25,8,27,20,4,Yes,7.5,midnight,7,5,2
2022/08/30 11:45:55 AM MDT,To win a Nobel Prize,School of Nursing,Brown,1st year,3,64,2,25,6,3,4,3,No,6,11:00 PM,1,3,2
2022/08/30 11:45:55 AM MDT,To win an Olympic gold medal,School of Business,Brown,1st year,4,70,4,30,4,5,2,12,No,8,11:00 PM,2,6,2
2022/08/30 11:47:23 AM MDT,To win an Olympic gold medal,School of Nursing,Hazel,1st year,4,64,4,30,8,24,0,10,Yes,8,11:00 PM,1,10,2
