Timestamp,achieve,degree,eyecolor,year,int.ext,height,phone.usage,haircut,random,study,run,shoes,abolish.penny,sleep,bedtime,countries,states,class.dread
2022/02/08 1:06:18 PM PST,To win a Nobel Prize,School of Nursing,Blue,2nd year,4,63,2,70,2,4,5,20,No,6,midnight,1,10,2
2022/02/08 1:06:40 PM PST,To win a Nobel Prize,School of Nursing,Blue,Other,4,75,3,0,7,,15,12,No,8,10:00 PM,3,6,1
2022/02/08 1:06:49 PM PST,To win an Olympic gold medal,College of Arts and Sciences,Brown,2nd year,3,73,4,45,6,16.5,4,8,No,7.5,midnight,2,18,2
2022/02/08 1:07:10 PM PST,To win a Nobel Prize,College of Arts and Sciences,Brown,4th year,3,64,4,0,7,5,0,11,No,7,midnight,5,10,5
2022/02/08 1:07:31 PM PST,To win a Nobel Prize,College of Arts and Sciences,Brown,1st year,4,68,4,35,4,5,21,8,No,7,1:00 AM,3,7,3
2022/02/08 1:07:48 PM PST,To win an Olympic gold medal,School of Business,Brown,1st year,3,61,3,20,3,20,10,25,Yes,7,10:00 PM,2,7,1
2022/02/08 1:07:53 PM PST,To win an Olympic gold medal,College of Arts and Sciences,Brown,1st year,3,63,3,30,5,5,3,10,No,8,10:00 PM,3,8,3
2022/02/08 1:07:54 PM PST,To win an Olympic gold medal,School of Business,Brown,1st year,3,72,2,23,8,9,55,22,No,8,midnight,4,13,2
2022/02/08 1:08:00 PM PST,To become President of the United States,School of Business,Hazel,1st year,5,65,8,,8,5,6,6,No,5.5,midnight,2,4,3
2022/02/08 1:08:05 PM PST,To win a Nobel Prize,College of Arts and Sciences,Brown,1st year,1,63,5,70,7,8,3,7,No,6,11:00 PM,1,4,3
2022/02/08 1:08:07 PM PST,To win an Olympic gold medal,School of Nursing,Blue,1st year,4,67,3,60,7,3,1,20,No,8,midnight,3,5,4
2022/02/08 1:08:14 PM PST,To win an Olympic gold medal,College of Arts and Sciences,Green,1st year,5,68,4,50,4,3,5,15,Yes,8,midnight,1,10,2
2022/02/08 1:08:22 PM PST,To win a Nobel Prize,School of Nursing,Green,1st year,2,65,8,60,3,8,1,4,Yes,7,midnight,5,4,3
2022/02/08 1:08:51 PM PST,To win an Olympic gold medal,School of Business,Green,1st year,3,74,5,23,2,4,10,6,No,7,10:00 PM,1,13,3
2022/02/08 1:09:18 PM PST,To win an Olympic gold medal,School of Nursing,Brown,1st year,4,64,6,50,7,12.5,0,12,No,7,midnight,4,5,3
2022/02/08 1:09:27 PM PST,To win a Nobel Prize,School of Nursing,Blue,2nd year,2,66,2,0,3,5,2,10,No,9,midnight,10,22,2
2022/02/08 1:09:54 PM PST,To win an Olympic gold medal,School of Business,Brown,1st year,4,69,4,25,3,8,,7,Yes,8,11:00 PM,2,4,1
2022/02/08 1:10:31 PM PST,To win an Academy Award,College of Arts and Sciences,Brown,1st year,4,65,3,0,3,20,0,16,No,8,11:00 PM,1,11,4
2022/02/08 1:14:28 PM PST,To win an Olympic gold medal,College of Arts and Sciences,Brown,1st year,3,69,8,0,7,7,3,20,No,6,11:00 PM,2,3,3
2022/02/08 2:21:37 PM PST,To win an Olympic gold medal,School of Nursing,Brown,2nd year,3,59,2,0,4,21,0,5,Yes,5,after 1 am,2,2,4
2022/02/08 4:42:33 PM PST,To win an Olympic gold medal,College of Arts and Sciences,Blue,2nd year,5,68,4,190,8,8,2,9,No,9,midnight,1,10,2
2022/02/08 5:27:27 PM PST,To win a Nobel Prize,School of Business,Green,1st year,2,73,3,50,5,6,0,15,No,7,midnight,1,6,4
2022/02/08 6:16:35 PM PST,To win an Olympic gold medal,School of Nursing,Brown,2nd year,4,60,4,70,8,10,3,7,No,7,11:00 PM,2,5,5
2022/02/08 7:21:39 PM PST,To win a Nobel Prize,School of Business,Brown,3rd year,2,72,3,20,8,3.5,3,65,No,8,midnight,2,11,3
2022/02/08 9:20:47 PM PST,To win an Olympic gold medal,College of Arts and Sciences,Hazel,1st year,1,72,6,120,6,13,0,4,No,7.5,11:00 PM,3,4,3
2022/02/08 9:31:08 PM PST,To win a Nobel Prize,School of Business,Hazel,2nd year,5,73,8,0,4,20,5,3,No,7,midnight,6,25,1
2022/02/09 8:57:36 AM PST,To win an Olympic gold medal,School of Business,Green,1st year,2,70,3,25,7,10,5,3,Yes,6,midnight,7,12,2
2022/02/09 8:31:54 PM PST,To win an Olympic gold medal,College of Arts and Sciences,Hazel,1st year,2,72,4,20,1,5,2,10,No,8,midnight,1,4,3
