Year,Player,Round,Overall,Pos.,Team,Note
1949,Chuck Bednarik,1,1,C/LB,Philadelphia Eagles (Also drafted in 1st round of 1949 AAFC secret draft by the Brooklyn Dodgers.),
1957,Paul Hornung,1,1,QB/HB,Green Bay Packers,
1936,Joe Stydahar,1,6,T,Chicago Bears,
1937,Sammy Baugh,1,6,QB,Washington Redskins,
1938,Alex Wojciechowicz,1,6,C,Detroit Lions,
1939,Sid Luckman,1,2,QB,Chicago Bears,
1940,George McAfee,1,2,HB,"Philadelphia Eagles (Immediately traded to Chicago Bears, with whom he signed.)",
1940,"Clyde ""Bulldog"" Turner",1,7,C,Chicago Bears,
1942,Bill Dudley,1,1,HB,Pittsburgh Steelers,
1944,Otto Graham,1,4,QB,Detroit Lions (Drafted by Lions but signed with Cleveland Browns of AAFC in 1946.),
1944,Steve Van Buren,1,5,HB,Philadelphia Eagles,
1945,Charley Trippi,1,1,HB,Chicago Cardinals (Drafted as a future selection. Also drafted as special selection in 1947 AAFC draft by New York Yankees.),
1945,Elroy Hirsch,1,5,HB-E,Cleveland Rams (Drafted as a future selection. Started career in AAFC but switched to NFL and Rams in 1949.),
1946,George Connor,1,5,T,New York Giants (Drafted as a future selection. Traded to the Boston Yanks who then traded him to the Chicago Bears. Also selected in 15th round - 145th overall - of 1945 draft by Pittsburgh Steelers. The NFL ruled the pick to be ineligible and thus voided the selection.),
1948,Bobby Layne,1,3,QB,Chicago Bears (Also selected in 1st round - 2nd overall - of 1948 AAFC draft by Baltimore Colts.),
1948,Y.A. Tittle,1,6,QB,"Detroit Lions (Drafted by Lions, but started career with the Baltimore Colts in AAFC. When Colts disbanded after 1950 season, the players were made eligible for draft along with college seniors. Tittle was the No. 1 choice - 3rd overall - of 49ers in 1951.)",
1949,Doak Walker,1,3,HB,Boston Yanks (Walker was drafted as a future selection. His negotiation rights traded to Detroit Lions before 1950 season. Also drafted in 9th round - 69th overall - of 1949 AAFC draft by the Cleveland Browns.),
1950,Leo Nomellini,1,11,DT,San Francisco 49ers,
1952,Ollie Matson,1,3,HB,Chicago Cardinals,
1952,Hugh McElhenny,1,9,HB,San Francisco 49ers,
1952,Les Richter,1,2,LB,New York Yanks,
1952,Frank Gifford,1,11,HB-FL,New York Giants,
1953,Doug Atkins,1,11,DE,Cleveland Browns,
1956,Lenny Moore,1,9,FL-HB,Baltimore Colts,
1957,Len Dawson,1,5,QB,Pittsburgh Steelers,
1957,Jim Brown,1,6,FB,Cleveland Browns,
1957,Jim Parker,1,8,T-G,Baltimore Colts,
1958,Chuck Howley,1,7,LB,Chicago Bears,
