Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,RE24,NameASCII,PlayerId,MLBAMID
"Juan Soto","WSN",151,654,29,111,95,9,0.221712538,0.142201834,0.221115538,0.332467532,0.312749003,0.464831804,0.533864541,0.42023942209839255,0.429,163.69397404985946,-3.144613855984062,49.88559515768951,-4.120085000991821,6.787712103019145,63.66600036621094,"Juan Soto",20123,665742
"Bryce Harper","PHI",141,599,35,101,84,13,0.166944908,0.223706176,0.305327869,0.359133126,0.309426229,0.42881072,0.614754098,0.4308981269751364,0.43,170.48425745080436,-0.265322201885283,53.48315880846694,-7.290309906005859,6.64566931861685,55.54600143432617,"Bryce Harper",11579,547180
"Shohei Ohtani","LAA",158,639,46,103,100,26,0.150234741,0.295774647,0.33519553,0.302631578,0.25698324,0.372456964,0.59217877,0.39348932132967457,0.408,150.46676504435462,2.284924519713968,41.7677643317853,-13.611226119101048,5.0198553375287815,53.56779861450195,"Shohei Ohtani",19755,660271
"Fernando Tatis Jr.","SDP",130,546,42,99,97,25,0.113553113,0.28021978,0.328451883,0.324041811,0.282426778,0.364468864,0.610878661,0.40267823228129634,0.407,157.6987803343458,5.671057688072324,45.77679635161091,3.774207219481468,6.8042384364260196,51.14720153808594,"Fernando Tatis Jr.",19709,665487
"Vladimir Guerrero Jr.","TOR",161,698,48,123,111,4,0.123209169,0.157593123,0.289735099,0.3125,0.311258278,0.401146131,0.600993377,0.4190476244334374,0.421,165.70161871862166,-1.3621172241400927,54.78578679727322,-15.61093020439148,6.327522710433359,50.73099899291992,"Vladimir Guerrero Jr.",19611,665489
"Freddie Freeman","ATL",159,695,31,120,83,8,0.122302158,0.153956834,0.203333333,0.321120689,0.3,0.392805755,0.503333333,0.3791464183260413,0.416,135.99503371937433,1.3838595282286406,33.231307240105046,-9.176594257354736,4.748485507350267,45.516998291015625,"Freddie Freeman",5361,518692
"Bryan Reynolds","PIT",159,646,24,93,90,5,0.116099071,0.184210526,0.220035778,0.345238095,0.302325581,0.390092879,0.522361359,0.3850083169607764,0.386,139.8216033903613,0.45104989781975746,33.200084684059966,7.841243028640747,6.2870995301652615,44.88500213623047,"Bryan Reynolds",19326,668804
"Max Muncy","LAD",144,592,36,95,94,2,0.140202702,0.202702702,0.277665996,0.257309941,0.249496981,0.368243243,0.527162977,0.37869148877857084,0.407,139.36417480433613,-1.2454760645050555,28.421282849911492,-3.272322177886963,4.511954917188499,42.98500061035156,"Max Muncy",13301,571970
"José Ramírez","CLE",152,636,36,111,103,27,0.113207547,0.136792452,0.271739131,0.255760368,0.266304347,0.355345911,0.538043478,0.37188066832554606,0.376,139.77967140015403,5.675183151150122,36.65082852487489,5.73766852170229,6.436657438964115,41.52799987792969,"Jose Ramirez",13510,608070
"Teoscar Hernández","TOR",143,595,32,92,116,12,0.060504201,0.248739495,0.227272727,0.352150537,0.296363636,0.346218487,0.523636363,0.36892860937198807,0.37,131.83245288722355,1.3842345736920834,24.573614041388566,-4.912622928619385,4.016719488312302,41.137001037597656,"Teoscar Hernandez",13066,606192
"Brandon Lowe","TBR",149,615,39,97,99,7,0.110569105,0.271544715,0.276635514,0.280120481,0.246728971,0.339837398,0.523364485,0.36336161920559973,0.36,136.42345818863697,1.8421468494925648,29.267886532341965,-5.781715154647827,4.469037093465111,41.128299713134766,"Brandon Lowe",18882,664040
