Team ,Year,W ,L ,PF,PA
Boston ,2014,6,8,191,199
Charlotte ,2014,4,10,171,190
Chesapeake ,2014,5,9,172,185
Denver ,2014,9,5,204,188
Florida ,2014,5,9,176,205
New York ,2014,9,5,189,180
Ohio ,2014,8,6,212,197
Rochester ,2014,10,4,198,169
Boston ,2015,8,6,216,193
Charlotte ,2015,3,11,178,215
Chesapeake ,2015,6,8,173,182
Denver ,2015,7,7,206,225
Florida ,2015,5,9,196,207
New York ,2015,10,4,216,197
Ohio ,2015,9,5,213,179
Rochester ,2015,8,6,199,199
Atlanta ,2016,4,10,209,230
Boston ,2016,8,6,201,189
Charlotte ,2016,8,6,198,197
Chesapeake ,2016,8,6,204,198
Denver ,2016,8,6,215,224
Florida ,2016,3,11,180,219
New York ,2016,8,6,242,246
Ohio ,2016,8,6,223,193
Rochester ,2016,8,6,209,185
Atlanta ,2017,6,8,194,205
Boston ,2017,3,11,203,230
Charlotte ,2017,6,8,202,205
Chesapeake ,2017,7,7,229,208
Denver ,2017,9,5,209,188
Florida ,2017,8,6,189,220
New York ,2017,7,7,203,206
Ohio ,2017,9,5,199,175
Rochester ,2017,8,6,186,177
Atlanta ,2018,7,7,207,198
Boston ,2018,5,9,191,231
Charlotte ,2018,7,7,212,199
Chesapeake ,2018,9,5,198,188
Dallas ,2018,11,3,217,179
Denver ,2018,8,6,235,211
Florida ,2018,5,9,200,221
New York ,2018,8,6,221,224
Ohio ,2018,3,11,185,215
