Rk,Player,M,M W-L,MWpct,SPW,SPW-InP,Aces,Acepct,DFs,DFpct,DF/2s,1stIn,1stpct,2ndpct,2pct_InP,Hldpct,Pts_SG,PtsL_SG
1,Jannik Sinner [ITA],56,52-4,0.929,0.712,0.696,499,0.109,114,0.025,0.064,0.611,0.795,0.581,0.62,0.913,6,1.7
2,Alexander Zverev [GER],84,65-19,0.774,0.701,0.686,757,0.118,207,0.032,0.106,0.696,0.77,0.543,0.608,0.891,6,1.8
3,Carlos Alcaraz [ESP],73,60-13,0.822,0.675,0.675,362,0.066,170,0.031,0.088,0.649,0.734,0.567,0.622,0.859,6.1,2
4,Taylor Fritz [USA],69,48-21,0.696,0.705,0.679,743,0.133,132,0.024,0.066,0.64,0.789,0.558,0.597,0.901,6,1.8
5,Novak Djokovic [SRB],49,38-11,0.776,0.688,0.679,330,0.09,108,0.029,0.086,0.66,0.756,0.554,0.606,0.872,6.1,1.9
6,Jack Draper [GBR],58,41-17,0.707,0.675,0.663,525,0.115,185,0.041,0.104,0.61,0.773,0.523,0.584,0.846,6.1,2
7,Alex De Minaur [AUS],66,46-20,0.697,0.647,0.654,272,0.056,194,0.04,0.087,0.541,0.734,0.545,0.597,0.811,6.1,2.2
8,Andrey Rublev [RUS],60,33-27,0.55,0.664,0.651,486,0.103,167,0.035,0.09,0.61,0.757,0.517,0.568,0.835,6.2,2.1
9,Holger Rune [DEN],65,43-22,0.662,0.659,0.659,342,0.07,177,0.036,0.092,0.608,0.73,0.549,0.605,0.837,6.2,2.1
10,Daniil Medvedev [RUS],59,38-21,0.644,0.64,0.643,426,0.092,261,0.056,0.144,0.609,0.737,0.488,0.571,0.79,6.4,2.3
11,Lorenzo Musetti [ITA],63,43-20,0.683,0.641,0.64,235,0.043,126,0.023,0.068,0.66,0.697,0.532,0.571,0.795,6.4,2.3
12,Tommy Paul [USA],63,45-18,0.714,0.654,0.643,378,0.074,124,0.024,0.063,0.619,0.719,0.548,0.585,0.822,6.4,2.2
13,Ben Shelton [USA],65,39-26,0.6,0.686,0.676,613,0.107,212,0.037,0.114,0.676,0.751,0.549,0.62,0.883,6.3,2
14,Arthur Fils [FRA],66,42-24,0.636,0.659,0.656,423,0.081,199,0.038,0.099,0.616,0.753,0.509,0.565,0.832,6.3,2.2
15,Casper Ruud [NOR],58,35-23,0.603,0.655,0.649,335,0.075,142,0.032,0.095,0.665,0.714,0.538,0.594,0.822,6.3,2.2
16,Grigor Dimitrov [BUL],54,36-18,0.667,0.673,0.676,407,0.099,211,0.051,0.126,0.592,0.785,0.512,0.585,0.838,6.2,2
17,Frances Tiafoe [USA],57,32-25,0.561,0.653,0.639,490,0.094,161,0.031,0.074,0.582,0.74,0.533,0.576,0.826,6.5,2.3
18,Stefanos Tsitsipas [GRE],61,39-22,0.639,0.68,0.678,390,0.083,177,0.038,0.099,0.62,0.754,0.558,0.619,0.868,6.2,2
19,Felix Auger Aliassime [CAN],56,33-23,0.589,0.67,0.66,520,0.119,201,0.046,0.132,0.652,0.755,0.51,0.587,0.841,6.3,2.1
