TeamName,Team,Logo
Beartooth Bitteroots,BEA,tm25.jpg
Springfield Isotopoes,ISO,ISO21.jpg
Newark Hen House,NHH,NHH.jpg
Jersey Damage Inc.,JER,ThunderBay.png
Olympia Sounders,OLS,olympia.png
Rock River Ravens,RAV,ravens.png
Kingsport Bridgeburners,KBB,KBBLogo.jpg
Cracksville Plumbers,PLU,Cracksville.png
San Carlos Aces,SCA,SCAces.jpg
Colorado Gladiators,COL,tm12.jpg
Philadelphia Smackdown,PHS,PHS2025.jpg
Emerald City Bombers,BOM,Bombers.jpeg
Los Angeles Halos,LAH,tm2.jpg
Louisville Bats,LVB,BATS2.jpeg
Stone Mountain Confederates,SMC,tm15.png
Michigan Whitecaps,WHC,WHC.png
Jotenheim Giants,JOT,giants.jpg
Lincoln Tunnel Rats,LTR,tm7.jpg
Siouxland Cyclists,CYC,SiouxlandCyclists.png
Capital City Capitals,CCC,ccc.PNG
West Orange Panthers,PAN,tm16.jpg
Atlanta Knights,ATK,Atlanta.jpg
Gotham CityHawks,GOT,gothamcity_logomenu.jpg
Purcellville Cannons,PUR,cannons.png
